Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
A Ridwan,10001,Not married,Single,M,TKP/ Outsource,Product Owner,Senior,Exceed,EWD,Evaluate,30596,Sunda,40729,,N/A-StillEmployed,Active,LinkedIn,4.6,5,5,0,43847,0,1
Ade Setyanto,10002,Not married,Single,M,TKP/ Outsource,Product Owner,Senior,Fully meets,EWD,Pay,27519,Sunda,42093,43267,career change,Voluntarily Terminated,Indeed,4.96,5,3,6,42790,0,17
Adhitya Bramantya Ranggatyasta,10003,Married,Divorced,F,TKP/ Outsource,Product Owner,Senior,Average,ENT,HunianAja,09/19/88,Jawa,40729,41906,hours,Voluntarily Terminated,LinkedIn,3.02,3,3,0,41409,0,3
Adji Wijaya Kusuma,10004,Not married,Single,F,TKP/ Outsource,Business Analyst,Middle,Exceed,ENT,Intermoda,09/27/88,Cina,39454,,N/A-StillEmployed,Active,Indeed,4.84,5,5,0,43833,0,15
Agus Andri Putra,10005,Not married,Single,F,Prohire,Business Analyst,Middle,Average,EDU,Squad Pijar Sekolah,32729,Bali,40735,43349,return to school,Voluntarily Terminated,Google Search,5,5,4,0,42767,0,2
Ahmad Dwi Nugroho,10006,Married,Married,F,TKP/ Outsource,Product Owner,Senior,Exceed,COM,ChatAja,05/22/77,Bali,40917,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,43837,0,15
Ahmad Faiz,10007,Married,Married,F,TKP/ Outsource,Business Analyst,Junior,Average,COM,Vutura,05/24/79,Padang,41953,,N/A-StillEmployed,Active,LinkedIn,3.04,3,3,4,43832,0,19
Ahmad Hari Ramadhan,10008,Married,Divorced,M,TKP/ Outsource,Business Analyst,Junior,Exceed,ENT,Intermoda,02/18/83,Jawa,41547,,N/A-StillEmployed,Active,Employee Referral,5,5,4,0,43886,0,19
Ahmad Iswandi,10009,Not married,Single,F,TKP/ Outsource,Business Analyst,Middle,Exceed,EWD,Sales Cycle  ,25874,Sunda,40000,,N/A-StillEmployed,Active,Diversity Job Fair,4.46,4,3,0,43855,0,4
Ahmad Khaerul,10010,Married,Widowed,M,TKP/ Outsource,Product Owner,Middle,Need improvement,EWD,Activate & Install,32325,Cina,42009,,N/A-StillEmployed,Active,Indeed,5,5,5,6,43879,0,16
Ahmad Luthfi Mahar,10011,Married,Divorced,F,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,ChatAja,27364,Jawa,40553,43477,Another position,Voluntarily Terminated,Diversity Job Fair,4.2,4,4,0,42765,0,12
Akhdiyat Restu Fiqih,10012,Married,Divorced,M,TKP/ Outsource,Product Owner,Junior,Fully meets,COM,UMEETME,02/21/74,Bali,41001,43362,unhappy,Voluntarily Terminated,Diversity Job Fair,4.2,4,3,0,42861,0,15
Alifia Sarah Mardiani,10013,Not married,Single,M,TKP/ Outsource,Business Analyst,Middle,Need improvement,EWD,Core Domain,32240,Bali,41953,,N/A-StillEmployed,Active,Diversity Job Fair,4.28,4,4,5,43886,0,9
Alwi Khairan Akhmad,10014,Not married,Single,M,TKP/ Outsource,Product Owner,Junior,Fully meets,EWD,Evaluate,07/20/83,Sunda,40959,,N/A-StillEmployed,Active,Google Search,4.6,5,4,0,43875,0,7
Amalia Erza Syafitri,10015,Married,Married,M,TKP/ Outsource,UI Designer,Junior,Special treatment,EWD,Pay,07/15/77,Cina,41176,43561,Another position,Voluntarily Terminated,On-line Web application,5,5,5,0,43161,0,1
Amalia Nurul Hidayah,10016,Not married,Single,M,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Sales Cycle,10/18/81,Bali,40595,43681,attendance,Terminated for Cause,Google Search,5,5,4,0,43195,0,20
Andi Yayang Friandi,10017,Not married,Single,F,TKP/ Outsource,UI Designer,Senior,Fully meets,HLT,PeduliLindungi,04/17/66,Jawa,42572,,N/A-StillEmployed,Active,Employee Referral,4.4,4,3,0,43844,0,16
Andika Junisar Putri,10018,Married,Divorced,F,Prohire,UX Designer,Junior,Exceed,COM,OCA,10/27/70,Cina,40637,,N/A-StillEmployed,Active,Google Search,5,5,5,0,43844,0,12
Andre,10019,Not married,Single,F,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Sekolah,31506,Padang,41827,42990,performance,Terminated for Cause,Google Search,4.5,5,4,5,42384,0,8
Andri Istiawan,10020,Not married,Single,M,Prohire,UI Designer,Junior,Special treatment,EWD,Core Domain,29010,Jawa,41463,,N/A-StillEmployed,Active,LinkedIn,4.2,4,4,0,43841,0,13
Andry Purnawati,10021,Not married,Single,M,TKP/ Outsource,UX Designer,Junior,Average,EWD,Sales Cycle  ,12/22/70,Sunda,41001,,N/A-StillEmployed,Active,Google Search,5,5,3,0,43844,0,13
Anita Dwi Kusrini,10022,Married,Married,F,TKP/ Outsource,UI Designer,Junior,Special treatment,FIN,Inpoin,12/27/58,Cina,41505,,N/A-StillEmployed,Active,Indeed,4.2,4,3,0,43840,0,2
Anjas Syarifudin Maharesi,10023,Married,Divorced,F,Prohire,UX Writer,Senior,Fully meets,FIN,MPS,32517,Jawa,41827,,N/A-StillEmployed,Active,Indeed,5,5,3,0,43888,0,19
Anne Lestari,10024,Married,Divorced,F,Prohire,UX Designer,Junior,Fully meets,EDU,Arkademy ,09/21/90,Padang,40637,,N/A-StillEmployed,Active,CareerBuilder,2,2,3,0,43888,2,3
Anshory Muhammad,10025,Married,Widowed,F,Prohire,UX Writer,Junior,Special treatment,ENT,MyPertamina,01/16/67,Padang,40553,42464,career change,Voluntarily Terminated,Google Search,4.8,5,5,0,42067,0,5
Arief Luthfi,10026,Not married,Single,M,TKP/ Outsource,Artificial Intelligent,Junior,Exceed,IHX,Squad B,07/30/64,Cina,41687,43150,Learned that he is a gangster,Terminated for Cause,LinkedIn,3.5,4,5,7,42745,0,2
Arini Indah,10027,Married,Widowed,F,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Service Core,31871,Sunda,42051,,N/A-StillEmployed,Active,Diversity Job Fair,5,5,4,3,43879,0,4
Arisalsabila Wahyu Bawono,10028,Not married,Single,M,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Bonum,25844,Padang,41547,42589,retiring,Voluntarily Terminated,Indeed,3.39,3,3,0,42055,0,14
Arsya Shafira Firstri,10029,Married,Divorced,F,TKP/ Outsource,Back End Developer,Middle,Exceed,ENT,MyPertamina,08/24/90,Padang,41001,42170,Another position,Voluntarily Terminated,Google Search,3.35,3,4,0,41702,0,6
Arwani,10030,Not married,Single,F,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Service Core,11/24/87,Bali,39748,,N/A-StillEmployed,Active,Diversity Job Fair,4.5,5,2,6,43845,0,14
Asep Yuhana,10031,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Bonum,07/28/83,Padang,41911,,N/A-StillEmployed,Active,Google Search,3.19,3,3,0,43862,0,9
Asfah Faela Shufa,10032,Married,Married,F,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Sales Cycle,10/30/69,Cina,41589,,N/A-StillEmployed,Active,Diversity Job Fair,3.5,4,5,0,43851,0,17
Astria Karismawati,10033,Not married,Single,F,TKP/ Outsource,Front End Developer,Middle,Fully meets,EWD,RPA & Profitability,23382,Cina,40770,42584,Another position,Voluntarily Terminated,Google Search,3.14,3,5,0,41680,1,19
Astrid Noviasari Suprapto,10034,Married,Divorced,F,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHX,Squad C,29254,Bali,40973,,N/A-StillEmployed,Active,Employee Referral,4.51,5,4,0,43882,0,3
Aulia Eka Fitriani,10035,Married,Married,M,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,ENT,MyPertamina,08/19/77,Sunda,40637,,N/A-StillEmployed,Active,Indeed,3.25,3,5,0,43844,0,15
Aura Camellia Ludica,10036,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Platform,11/22/66,Cina,40770,,N/A-StillEmployed,Active,Google Search,3.84,4,3,5,43851,0,4
Aviall Anggraina,10037,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Fully meets,HLT,PeduliLindungi,30567,Jawa,42397,,N/A-StillEmployed,Active,Indeed,5,5,3,0,43883,0,14
Ayu Bintang Nurrachma Gunawan,10038,Not married,Single,F,TKP/ Outsource,Back End Developer,Middle,Need improvement,HLT,PeduliLindungi,31901,Padang,41589,,N/A-StillEmployed,Active,Indeed,4.96,5,4,6,43860,0,3
Ayu Prihatini Novianingrum Romadani,10039,Married,Divorced,M,Prohire,Front End Developer,Junior,Fully meets,IHX,Lead/Reviewer/Maintener,30349,Bali,41729,,N/A-StillEmployed,Active,LinkedIn,4.43,4,3,0,43862,0,14
Bagus,10040,Not married,Single,F,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad B,31569,Sunda,42551,,N/A-StillEmployed,Active,LinkedIn,5,5,5,6,43879,0,7
Bagus Indra Febrianto,10041,Not married,Single,F,Prohire,Mobile Developer Android,Junior,Special treatment,IHX,Squad D,05/15/63,Padang,41869,,N/A-StillEmployed,Active,Indeed,5,5,5,0,43851,0,7
Bagus Tri Harjanto,10042,Married,Married,F,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Explore,18660,Bali,41911,,N/A-StillEmployed,Active,Google Search,5,5,4,0,43873,0,11
Bayu Aji Kurniawan,10043,Married,Married,M,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Inpoin,26544,Cina,42619,,N/A-StillEmployed,Active,Indeed,4.5,5,5,7,43845,0,8
Bayu Anugrah,10044,Married,Divorced,F,TKP/ Outsource,Back End Developer,Junior,Average,EWD,AM Performance,29191,Bali,41771,,N/A-StillEmployed,Active,Indeed,3.3,3,4,0,43880,0,11
Bayusandya Tresnayatna,10045,Not married,Single,M,TKP/ Outsource,Back End Developer,Senior,Need improvement,ENT,MyPertamina,08/24/83,Padang,41463,,N/A-StillEmployed,Active,LinkedIn,3.8,4,5,0,43844,0,4
Brilliant Djaka Irfanudin Rofiq,10046,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Exceed,FIN,Inpoin,25878,Bali,41043,,N/A-StillEmployed,Active,Employee Referral,3,3,5,0,43849,0,17
Burhanudin Ramdhani,10047,Married,Married,F,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Bonum,08/27/83,Jawa,40721,43054,relocation out of area,Voluntarily Terminated,Indeed,4.3,4,4,0,42439,0,3
Calvinza Herman,10048,Not married,Single,F,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck Web,05/31/88,Sunda,40819,,N/A-StillEmployed,Active,Indeed,3.58,4,5,0,43860,0,3
Chika Mareyza Anjani,10049,Married,Married,M,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Control Tower,31176,Padang,41157,,N/A-StillEmployed,Active,Indeed,4.7,5,3,6,43888,0,2
Christi Yanti Pardede,10050,Not married,Single,F,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Pijar Corpu,08/31/81,Bali,40679,42011,unhappy,Voluntarily Terminated,Google Search,4.2,4,5,0,41397,0,9
Christian S. X. Kembuan,10051,Married,Divorced,M,TKP/ Outsource,Back End Developer,Senior,Average,COM,ChatAja,11/25/78,Sunda,40420,41543,career change,Voluntarily Terminated,Indeed,4.2,4,4,0,41033,0,6
Cipta Pakarti Puji Akasyah,10052,Married,Divorced,M,TKP/ Outsource,Mobile Developer Android,Senior,Special treatment,FIN,MPS,08/26/80,Bali,42557,,N/A-StillEmployed,Active,Employee Referral,4.1,4,4,0,43889,0,5
Claudia Cahya P,10053,Married,Widowed,M,TKP/ Outsource,System Documentation,Junior,Need improvement,LGT,Logee Truck All Product,28346,Padang,41463,,N/A-StillEmployed,Active,Employee Referral,4.4,4,5,0,43844,0,3
Darin Afaf Rafinda,10054,Not married,Single,M,TKP/ Outsource,Front End Developer,Junior,Fully meets,VGA,Ads Based,29197,Jawa,40735,43366,performance,Terminated for Cause,LinkedIn,2,2,3,0,42856,5,16
David Suryana Adie,10055,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Need improvement,VGA,IndiBOX Apps,12/17/75,Sunda,40379,,N/A-StillEmployed,Active,CareerBuilder,4.13,4,2,0,43844,3,3
Debby Safira,10056,Not married,Single,M,TKP/ Outsource,Front End Developer,Junior,Exceed,IHL,IndiHome Smart,03/19/83,Jawa,39818,,N/A-StillEmployed,Active,Indeed,3.7,4,5,0,43865,0,15
Deddy Nur Hidayat,10057,Married,Married,F,TKP/ Outsource,Front End Developer,Senior,Fully meets,IHL,IndiHome Study,03/31/77,Jawa,42009,,N/A-StillEmployed,Active,Indeed,4.73,5,5,0,43875,0,6
Delicia Generis Humani,10058,Married,Married,M,TKP/ Outsource,Front End Developer,Junior,Exceed,FIN,Platform,08/26/86,Cina,42093,,N/A-StillEmployed,Active,Indeed,3.04,3,3,6,43852,0,2
Denandra Prasetya Laksma Putra,10059,Married,Married,F,TKP/ Outsource,Front End Developer,Senior,Average,FIN,Platform,32054,Bali,42557,,N/A-StillEmployed,Active,LinkedIn,4.12,4,5,0,43858,0,15
Dendy Ramdhan Fauzy,10060,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Need improvement,IHX,Squad B,23994,Padang,41953,,N/A-StillEmployed,Active,Employee Referral,5,5,3,4,43832,0,5
Devi,10061,Not married,Single,F,TKP/ Outsource,Back End Developer,Senior,Exceed,IHX,Squad C,04/19/90,Bali,41764,,N/A-StillEmployed,Active,Indeed,4.62,5,4,0,43854,0,8
Dewi Hapsari,10062,Married,Divorced,F,TKP/ Outsource,Front End Developer,Senior,Exceed,EWD,Refactoring New IA,01/18/52,Cina,41953,,N/A-StillEmployed,Active,LinkedIn,3.1,3,5,8,43873,0,19
Dewi Rahayu,10063,Married,Widowed,F,Prohire,Mobile Developer Android,Senior,Need improvement,VGA,Ads Based,28621,Sunda,41092,,N/A-StillEmployed,Active,Indeed,5,5,3,0,43886,0,1
Dhieo Deva Alavanta,10064,Married,Widowed,M,TKP/ Outsource,Mobile Developer Android,Junior,Special treatment,VGA,IndiBOX Apps,09/14/79,Cina,40854,,N/A-StillEmployed,Active,LinkedIn,3.96,4,4,0,43888,0,6
Dian Putri Paramitha Rais,10065,Married,Married,M,TKP/ Outsource,Back End Developer,Junior,Exceed,ENT,MyPertamina,04/15/88,Bali,43290,,N/A-StillEmployed,Active,Indeed,4.3,4,4,3,43861,2,2
Difa Al,10066,Married,Married,M,TKP/ Outsource,Mobile Developer Android,Junior,Need improvement,EDU,Squad Service Core,10/31/77,Cina,40679,43259,unhappy,Voluntarily Terminated,Indeed,5,5,4,0,42827,0,14
Dimas Bayu Suseno,10067,Not married,Single,F,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,28982,Jawa,40917,,N/A-StillEmployed,Active,CareerBuilder,3.79,4,5,5,43855,0,8
Dimas Pratama,10068,Not married,Single,M,TKP/ Outsource,Mobile Developer iOS,Middle,Fully meets,COM,ChatAja,27436,Sunda,41911,,N/A-StillEmployed,Active,Indeed,1.93,2,3,0,43860,6,5
Dini Agustini Fajri,10069,Married,Married,F,TKP/ Outsource,Back End Developer,Middle,Exceed,VGA,Ads Based,02/25/51,Sunda,40637,43043,more money,Voluntarily Terminated,Google Search,4.62,5,5,0,42496,0,1
Dwi Erviana,10070,Married,Widowed,M,TKP/ Outsource,Back End Developer,Junior,Average,IHL,IndiHome Smart,04/19/67,Bali,41827,,N/A-StillEmployed,Active,Indeed,1.12,1,2,0,43861,4,9
Dyva Agna Fauzan,10071,Married,Divorced,M,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Pijar Corpu,30415,Cina,42781,,N/A-StillEmployed,Active,Indeed,3.01,3,5,7,43853,0,15
Egi Chandra Legita,10072,Married,Divorced,M,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Delivery & Project Mgt,11/15/82,Cina,41771,,N/A-StillEmployed,Active,Indeed,4.3,4,4,0,43880,0,1
Egy Haekal Achmad,10073,Married,Widowed,F,TKP/ Outsource,Front End Developer,Middle,Special treatment,ENT,NETMONK,05/14/87,Cina,40959,,N/A-StillEmployed,Active,Website,2.3,2,1,0,43859,2,17
Eka Risyana Pribadi,10074,Married,Widowed,F,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Evaluate,28533,Bali,41281,,N/A-StillEmployed,Active,Indeed,3.88,4,4,0,43848,0,6
Eki Mandjasari,10075,Married,Divorced,F,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,31603,Jawa,41001,,N/A-StillEmployed,Active,CareerBuilder,3.4,3,5,0,43880,0,15
Eki Rizki Pratama Putra,10076,Married,Divorced,F,TKP/ Outsource,DevOps Engineer,Junior,Special treatment,EWD,Payment - SSOF,07/18/88,Jawa,42009,,N/A-StillEmployed,Active,Employee Referral,4.11,4,4,6,43886,0,16
Enny,10077,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Average,EDU,Squad Pijar Corpu,25818,Bali,41644,,N/A-StillEmployed,Active,Indeed,4.3,4,5,5,43834,0,4
Erdin Suharyadi,10078,Not married,Single,F,TKP/ Outsource,Back End Developer,Senior,Average,EDU,Squad Pijar Sekolah,32366,Padang,40553,,N/A-StillEmployed,Active,Indeed,4.77,5,5,0,43857,0,14
Ester Vanessa,10079,Not married,Single,F,TKP/ Outsource,Back End Developer,Senior,Fully meets,COM,UMEETME,11/28/73,Cina,41900,,N/A-StillEmployed,Active,Google Search,4.52,5,4,0,43845,0,4
Estha Triani Juansah,10080,Married,Widowed,F,TKP/ Outsource,System Documentation,Junior,Exceed,COM,ChatAja,09/23/73,Bali,40294,,N/A-StillEmployed,Active,Google Search,2.9,3,3,0,43851,0,6
Evi Sitorus,10081,Married,Widowed,F,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Product & Content Management System,33367,Cina,40637,43622,military,Voluntarily Terminated,Google Search,5,5,3,0,43199,0,7
Fadilla Nur Elminasari,10082,Not married,Single,M,TKP/ Outsource,Back End Developer,Middle,Special treatment,ENT,MyPertamina,05/31/74,Jawa,41953,,N/A-StillEmployed,Active,LinkedIn,4.7,5,5,0,43874,0,8
Fahmi Alhafid,10083,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Average,COM,UMEETME,08/25/78,Sunda,41729,,N/A-StillEmployed,Active,Employee Referral,4.2,4,3,0,43841,0,3
Fairuzh Shalma N,10084,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Average,COM,Vutura,08/25/89,Cina,41827,,N/A-StillEmployed,Active,Indeed,3,3,1,0,43886,2,5
Faisal Fahlevi,10085,Not married,Single,M,Prohire,Front End Developer,Senior,Need improvement,IHX,Squad D,30356,Padang,41001,44101,attendance,Terminated for Cause,Google Search,5,5,4,0,43567,5,16
Faishal Mahdy Nail,10086,Not married,Single,F,Prohire,Back End Developer,Senior,Average,COM,Vutura,32664,Jawa,41687,43886,"no-call, no-show",Terminated for Cause,Google Search,2.3,2,3,0,43115,5,19
Fajar Lesmana,10087,Married,Married,F,TKP/ Outsource,Back End Developer,Junior,Average,VGA,IndiBOX Apps,05/15/87,Bali,40665,42160,attendance,Terminated for Cause,Indeed,2.1,2,5,4,41496,4,19
Fakhri Ridho Dhiyamatra,10088,Married,Divorced,F,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Service Core,09/22/78,Cina,41827,,N/A-StillEmployed,Active,LinkedIn,4.4,4,5,0,43883,0,17
Fany Amalia,10089,Not married,Single,F,TKP/ Outsource,Front End Developer,Senior,Need improvement,COM,Vutura,09/27/87,Cina,41687,,N/A-StillEmployed,Active,LinkedIn,4,4,4,0,43837,0,7
